,Room Type,Neighbourhood,Neighbourhood Group,latitude,longitude,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
157,Entire home/apt,Cobble Hill,Brooklyn,40.6871507894737,-73.9957646052632,218.789473684211,7.42105263157895,27.25,1.07894736842105,57.8157894736842
158,Private room,Cobble Hill,Brooklyn,40.6877754545455,-73.9947654545455,161.727272727273,7.31818181818182,37.1363636363636,1.5,84.0909090909091
159,Entire home/apt,Columbia St,Brooklyn,40.6852190909091,-74.0023551515151,183.969696969697,5.93939393939394,13.1515151515152,1.18181818181818,68.5151515151515
160,Private room,Columbia St,Brooklyn,40.68394125,-74.0030025,87.25,3,31.375,2.5,80.125
161,Entire home/apt,Coney Island,Brooklyn,40.575908,-73.986996,149.4,4.5,25,3.5,174
162,Private room,Coney Island,Brooklyn,40.57397,-73.9999133333333,160,1,39.3333333333333,1.66666666666667,228.333333333333
163,Shared room,Coney Island,Brooklyn,40.5774925,-73.9840475,32.25,7,1.25,7.75,87.5
164,Entire home/apt,Crown Heights,Brooklyn,40.6728324370861,-73.9475199602649,159.880794701987,6.13112582781457,26.7814569536424,1.46887417218543,103.577483443709
165,Private room,Crown Heights,Brooklyn,40.6725795188557,-73.9451090507152,68.3472041612484,5.21196358907672,20.6553966189857,1.94148244473342,89.0702210663199
166,Shared room,Crown Heights,Brooklyn,40.6728776,-73.9426256,50.88,3,12.16,1.92,111.28
167,Entire home/apt,Cypress Hills,Brooklyn,40.682298490566,-73.8844201886792,238.811320754717,3.84905660377358,46.5660377358491,1.73584905660377,167.433962264151
168,Private room,Cypress Hills,Brooklyn,40.682132027027,-73.885022027027,59.8243243243243,8.58108108108108,23.6081081081081,2.43243243243243,181.581081081081
169,Shared room,Cypress Hills,Brooklyn,40.6825542857143,-73.87473,34.7142857142857,1.71428571428571,38.1428571428571,4.85714285714286,62.2857142857143
170,Entire home/apt,Downtown Brooklyn,Brooklyn,40.6941837254902,-73.9853639215686,183.882352941176,5.23529411764706,16.0980392156863,2.7843137254902,37.4705882352941
171,Private room,Downtown Brooklyn,Brooklyn,40.6946990322581,-73.9842664516129,95.6774193548387,7.09677419354839,11.8387096774194,2.29032258064516,44.0645161290323
172,Entire home/apt,DUMBO,Brooklyn,40.7031672727273,-73.9881877272727,220.590909090909,9.40909090909091,29.7272727272727,11.8181818181818,135.090909090909
173,Private room,DUMBO,Brooklyn,40.7034615384615,-73.9875692307692,158.769230769231,4.61538461538461,56,1.15384615384615,88.3846153846154
174,Entire home/apt,Dyker Heights,Brooklyn,40.6238428571429,-74.00974,114.857142857143,2.14285714285714,39,1.42857142857143,185.428571428571
175,Private room,Dyker Heights,Brooklyn,40.62347,-74.0116775,69.5,2.5,35.25,2,87.5
176,Shared room,Dyker Heights,Brooklyn,40.62827,-74.01078,39,5,1,2,89
177,Entire home/apt,East Flatbush,Brooklyn,40.647632459893,-73.939638342246,130.855614973262,4.46524064171123,40.8983957219251,1.47058823529412,154.411764705882
178,Private room,East Flatbush,Brooklyn,40.6500248083624,-73.9385903135888,91.9686411149826,6.18815331010453,16.404181184669,5.18815331010453,187.808362369338
179,Shared room,East Flatbush,Brooklyn,40.6474095833333,-73.94403375,41.9583333333333,24.8333333333333,3.83333333333333,4.5,293
180,Entire home/apt,East New York,Brooklyn,40.6688525806452,-73.8837269892473,116.720430107527,3.89247311827957,46.7634408602151,1.64516129032258,161.741935483871
181,Private room,East New York,Brooklyn,40.6676168333333,-73.8847560833333,60.0416666666667,5.35833333333333,19.7333333333333,5.18333333333333,204.816666666667
182,Shared room,East New York,Brooklyn,40.670582,-73.879506,112.6,3,8.4,3,209
